Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap53/GraphSearchStPer.rs                       78                 1    98.72%           6                 0   100.00%          53                 1    98.11%           0                 0         -
Chap53/PQMinMtEph.rs                            116                 0   100.00%           5                 0   100.00%          62                 0   100.00%           0                 0         -
Chap53/PQMinMtPer.rs                            138               138     0.00%           6                 6     0.00%          79                79     0.00%           0                 0         -
Chap53/PQMinStEph.rs                            138               138     0.00%           6                 6     0.00%          77                77     0.00%           0                 0         -
Chap53/PQMinStPer.rs                            141                 0   100.00%           6                 0   100.00%          78                 0   100.00%           0                 0         -
Chap54/BFSMtEph.rs                               54                 1    98.15%           1                 0   100.00%          27                 1    96.30%           0                 0         -
Chap54/BFSMtPer.rs                               56                 1    98.21%           1                 0   100.00%          27                 1    96.30%           0                 0         -
Chap54/BFSStEph.rs                               45                 1    97.78%           1                 0   100.00%          22                 1    95.45%           0                 0         -
Chap54/BFSStPer.rs                               49                 1    97.96%           1                 0   100.00%          22                 1    95.45%           0                 0         -
Chap55/CycleDetectStEph.rs                       63                63     0.00%           2                 2     0.00%          36                36     0.00%           0                 0         -
Chap55/CycleDetectStPer.rs                       69                69     0.00%           2                 2     0.00%          38                38     0.00%           0                 0         -
Chap55/DFSStEph.rs                               44                 0   100.00%           2                 0   100.00%          27                 0   100.00%           0                 0         -
Chap55/DFSStPer.rs                               40                 0   100.00%           2                 0   100.00%          24                 0   100.00%           0                 0         -
Chap55/SCCStEph.rs                              151               151     0.00%           6                 6     0.00%          78                78     0.00%           0                 0         -
Chap55/SCCStPer.rs                              166               166     0.00%           6                 6     0.00%          83                83     0.00%           0                 0         -
Chap55/TopoSortStEph.rs                          46                46     0.00%           2                 2     0.00%          27                27     0.00%           0                 0         -
Chap55/TopoSortStPer.rs                          61                61     0.00%           2                 2     0.00%          33                33     0.00%           0                 0         -
Chap56/AllPairsResultStEphFloat.rs              116                 8    93.10%           7                 0   100.00%          64                 4    93.75%           0                 0         -
Chap56/AllPairsResultStEphInt.rs                116                 8    93.10%           7                 0   100.00%          64                 4    93.75%           0                 0         -
Chap56/AllPairsResultStPerFloat.rs              113                 8    92.92%          10                 0   100.00%          69                 6    91.30%           0                 0         -
Chap56/AllPairsResultStPerInt.rs                113                 8    92.92%          10                 0   100.00%          69                 6    91.30%           0                 0         -
Chap56/Example56_1.rs                            83                83     0.00%           3                 3     0.00%          48                48     0.00%           0                 0         -
Chap56/Example56_3.rs                            64                64     0.00%           2                 2     0.00%          30                30     0.00%           0                 0         -
Chap56/PathWeightUtilsStEph.rs                  142                10    92.96%           4                 0   100.00%          82                10    87.80%           0                 0         -
Chap56/PathWeightUtilsStPer.rs                  150                10    93.33%           4                 0   100.00%          82                10    87.80%           0                 0         -
Chap56/SSSPResultStEphFloat.rs                   80                 6    92.50%           7                 0   100.00%          52                 3    94.23%           0                 0         -
Chap56/SSSPResultStEphInt.rs                     80                 6    92.50%           7                 0   100.00%          52                 3    94.23%           0                 0         -
Chap56/SSSPResultStPerFloat.rs                   88                 6    93.18%           8                 0   100.00%          61                 5    91.80%           0                 0         -
Chap56/SSSPResultStPerInt.rs                     88                 6    93.18%           8                 0   100.00%          61                 5    91.80%           0                 0         -
Chap57/DijkstraStEphFloat.rs                     94                 8    91.49%           5                 1    80.00%          37                 3    91.89%           0                 0         -
Chap57/DijkstraStEphInt.rs                       93                 7    92.47%           5                 1    80.00%          37                 2    94.59%           0                 0         -
Chap57/StackStEph.rs                             26                 0   100.00%           7                 0   100.00%           7                 0   100.00%           0                 0         -
Chap58/BellmanFordStEphFloat.rs                 131                 2    98.47%           2                 0   100.00%          72                 2    97.22%           0                 0         -
Chap58/BellmanFordStEphInt.rs                   133                 2    98.50%           2                 0   100.00%          65                 2    96.92%           0                 0         -
Chap59/JohnsonMtEphFloat.rs                     202                18    91.09%          12                 4    66.67%         112                15    86.61%           0                 0         -
Chap59/JohnsonMtEphInt.rs                       198                17    91.41%          11                 3    72.73%         107                13    87.85%           0                 0         -
Chap59/JohnsonStEphFloat.rs                     141                16    88.65%           8                 3    62.50%          83                12    85.54%           0                 0         -
Chap59/JohnsonStEphInt.rs                       145                16    88.97%           8                 3    62.50%          80                12    85.00%           0                 0         -
Chap61/EdgeContractionMtEph.rs                  156               156     0.00%           5                 5     0.00%          75                75     0.00%           0                 0         -
Chap61/EdgeContractionStEph.rs                   80                80     0.00%           2                 2     0.00%          36                36     0.00%           0                 0         -
Chap61/VertexMatchingMtEph.rs                   198               198     0.00%           8                 8     0.00%         100               100     0.00%           0                 0         -
Chap61/VertexMatchingStEph.rs                    91                91     0.00%           2                 2     0.00%          40                40     0.00%           0                 0         -
Chap62/StarContractionMtEph.rs                  135               135     0.00%           7                 7     0.00%          73                73     0.00%           0                 0         -
Chap62/StarContractionStEph.rs                   69                69     0.00%           4                 4     0.00%          36                36     0.00%           0                 0         -
Chap62/StarPartitionMtEph.rs                    121               121     0.00%           3                 3     0.00%          46                46     0.00%           0                 0         -
Chap62/StarPartitionStEph.rs                     49                49     0.00%           1                 1     0.00%          19                19     0.00%           0                 0         -
Chap63/ConnectivityMtEph.rs                     229               229     0.00%          12                12     0.00%         116               116     0.00%           0                 0         -
Chap63/ConnectivityStEph.rs                     155               155     0.00%           8                 8     0.00%          71                71     0.00%           0                 0         -
Chap64/SpanTreeMtEph.rs                          57                57     0.00%           3                 3     0.00%          34                34     0.00%           0                 0         -
Chap64/SpanTreeStEph.rs                          56                56     0.00%           3                 3     0.00%          31                31     0.00%           0                 0         -
Chap64/TSPApproxMtEph.rs                        176               176     0.00%           7                 7     0.00%         107               107     0.00%           0                 0         -
Chap64/TSPApproxStEph.rs                        176               176     0.00%           7                 7     0.00%         107               107     0.00%           0                 0         -
Chap65/KruskalStEph.rs                           72                 1    98.61%           4                 0   100.00%          37                 0   100.00%           0                 0         -
Chap65/PrimStEph.rs                             146                 9    93.84%           8                 1    87.50%          77                 4    94.81%           0                 0         -
Chap65/UnionFindStEph.rs                        203               104    48.77%          13                 7    46.15%          98                49    50.00%           0                 0         -
Chap66/BoruvkaMtEph.rs                          369                 8    97.83%          15                 2    86.67%         177                 6    96.61%           0                 0         -
Chap66/BoruvkaStEph.rs                          211                 4    98.10%           7                 2    71.43%          97                 2    97.94%           0                 0         -
Types.rs                                        187               176     5.88%          41                38     7.32%          89                84     5.62%           0                 0         -
main.rs                                           4                 4     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                         46426             18772    59.57%        3835              1613    57.94%       24567              9831    59.98%           0                 0         -
